Age,Gender,Race,Month,State,Cause,Armed,POV,Unemployment Rate,College Graduation Rate
16,Male,Black,February,AL,Gunshot,No,14.1,0.097686375,0.168509509
27,Male,White,April,LA,Gunshot,No,28.8,0.065723794,0.111402359
26,Male,White,March,WI,Gunshot,No,14.6,0.166293142,0.147312269
25,Male,Hispanic/Latino,March,CA,Gunshot,Firearm,11.7,0.124827269,0.050132928
29,Male,White,March,OH,Gunshot,No,1.9,0.063549832,0.403954214
29,Male,White,March,AZ,Gunshot,No,58,0.073651452,0.102955195
22,Male,Hispanic/Latino,March,CA,Gunshot,Firearm,17.2,0.131461131,0.20380117
35,Male,Hispanic/Latino,March,CA,Gunshot,Non-lethal firearm,12.2,0.094346979,0.090437601
44,Male,White,January,TX,Gunshot,Firearm,37.7,0.140832976,0.047601339
31,Male,White,February,MI,Gunshot,Other,18.4,0.174167417,0.102691511
76,Male,White,April,CA,Gunshot,Knife,9.2,0.041085271,0.100328947
40,Male,White,May,CA,Gunshot,No,4.4,0.057580779,0.527176781
0,Male,Hispanic/Latino,February,TX,Gunshot,No,18.1,0.073771857,0.095803642
31,Male,White,February,IN,Gunshot,Firearm,13.1,0.054470101,0.345857854
23,Male,White,April,IN,Gunshot,Non-lethal firearm,26,0.067321178,0.568033429
39,Male,Hispanic/Latino,May,TN,Gunshot,Firearm,36.3,0.088225858,0.226814777
25,Female,Black,April,GA,Gunshot,Vehicle,42.4,0.229482072,0.3805374
54,Male,Hispanic/Latino,May,VA,Gunshot,Firearm,20.5,0.011916111,0.424964937
24,Female,White,March,CA,Gunshot,Firearm,11.6,0.040850588,0.552548489
57,Male,Black,January,CA,Death in custody,No,6.4,0.063268366,0.40952621
21,Male,Hispanic/Latino,February,CA,Gunshot,Vehicle,12.7,0.115890508,0.349884906
42,Male,Black,January,NE,Death in custody,No,10.3,0.035221496,0.258886442
21,Male,Hispanic/Latino,February,KS,Gunshot,Other,36.5,0.178185745,0.070931245
36,Male,White,March,CA,Gunshot,Firearm,24.4,0.262976968,0.071504237
26,Male,White,April,OK,Gunshot,Firearm,20.3,0.011335013,0.1694018
49,Male,White,March,OR,Gunshot,Firearm,24.8,0.131158917,0.125731679
54,Male,White,January,NH,Gunshot,Firearm,5.4,0.087385483,0.284854246
26,Male,White,April,CA,Gunshot,Firearm,17.4,0.098980204,0.179372197
48,Male,Black,March,FL,Gunshot,Firearm,18.2,0.176148796,0.15356292
33,Male,Hispanic/Latino,January,TX,Gunshot,Firearm,58.1,0.14461316,0.047239915
21,Male,Hispanic/Latino,April,CA,Gunshot,Knife,24.1,0.17323741,0.117980072
41,Male,Black,March,MA,Gunshot,Firearm,41.3,0.22039801,0.182336182
48,Male,Black,February,TN,Gunshot,Vehicle,18.9,0.218520333,0.140077821
36,Male,Black,May,AL,Gunshot,Knife,8.9,0.063658099,0.422256775
41,Male,Hispanic/Latino,February,GA,Gunshot,Firearm,9.5,0.133676093,0.268161872
